record_alias,column_name,project_id,project_title
Event,country,0,network
Event,yearCollected,0,network
Event,locality,0,network
Sample,eventID,0,network
Diagnostics,materialSampleID,0,network
Diagnostics,diagnosticID,0,network
Sample_Photo,photoID,0,network
Event_Photo,photoID,0,network
fastaSequence,identifier,0,network
fastaSequence,sequence,0,network
fastqMetadata,librarySelection,0,network
fastqMetadata,platform,0,network
fastqMetadata,librarySource,0,network
fastqMetadata,libraryLayout,0,network
fastqMetadata,libraryStrategy,0,network
fastqMetadata,filenames,0,network
fastqMetadata,identifier,0,network
fastqMetadata,designDescription,0,network
fastqMetadata,instrumentModel,0,network
Sample,phylum,114,Collins Lab
Sample,sampleEnteredBy,114,Collins Lab
Sample,institutionCode,114,Collins Lab
Sample,eventID,114,Collins Lab
Sample,materialSampleID,114,Collins Lab
Event,decimalLongitude,114,Collins Lab
Event,yearCollected,114,Collins Lab
Event,decimalLatitude,114,Collins Lab
Event,eventID,114,Collins Lab
Event,locality,114,Collins Lab
Event,eventEnteredBy,114,Collins Lab
Event,country,114,Collins Lab
Tissue,materialSampleID,114,Collins Lab
Sample_Photo,materialSampleID,114,Collins Lab
Sample_Photo,photoID,114,Collins Lab
Event_Photo,eventID,114,Collins Lab
Event_Photo,photoID,114,Collins Lab
fastaSequence,identifier,114,Collins Lab
fastaSequence,sequence,114,Collins Lab
fastaSequence,tissueID,114,Collins Lab
fastqMetadata,librarySelection,114,Collins Lab
fastqMetadata,platform,114,Collins Lab
fastqMetadata,librarySource,114,Collins Lab
fastqMetadata,libraryLayout,114,Collins Lab
fastqMetadata,tissueID,114,Collins Lab
fastqMetadata,libraryStrategy,114,Collins Lab
fastqMetadata,filenames,114,Collins Lab
fastqMetadata,identifier,114,Collins Lab
fastqMetadata,designDescription,114,Collins Lab
fastqMetadata,instrumentModel,114,Collins Lab
Sample,phylum,125,European ARMS project
Sample,sampleEnteredBy,125,European ARMS project
Sample,institutionCode,125,European ARMS project
Sample,eventID,125,European ARMS project
Sample,materialSampleID,125,European ARMS project
Event,decimalLongitude,125,European ARMS project
Event,yearCollected,125,European ARMS project
Event,decimalLatitude,125,European ARMS project
Event,eventID,125,European ARMS project
Event,locality,125,European ARMS project
Event,eventEnteredBy,125,European ARMS project
Event,country,125,European ARMS project
Tissue,materialSampleID,125,European ARMS project
Sample_Photo,materialSampleID,125,European ARMS project
Sample_Photo,photoID,125,European ARMS project
Event_Photo,eventID,125,European ARMS project
Event_Photo,photoID,125,European ARMS project
fastaSequence,identifier,125,European ARMS project
fastaSequence,sequence,125,European ARMS project
fastaSequence,tissueID,125,European ARMS project
fastqMetadata,librarySelection,125,European ARMS project
fastqMetadata,platform,125,European ARMS project
fastqMetadata,librarySource,125,European ARMS project
fastqMetadata,libraryLayout,125,European ARMS project
fastqMetadata,tissueID,125,European ARMS project
fastqMetadata,libraryStrategy,125,European ARMS project
fastqMetadata,filenames,125,European ARMS project
fastqMetadata,identifier,125,European ARMS project
fastqMetadata,designDescription,125,European ARMS project
fastqMetadata,instrumentModel,125,European ARMS project
Sample,phylum,131,Amalda_mitochondria_genomes
Sample,institutionCode,131,Amalda_mitochondria_genomes
Sample,scientificName,131,Amalda_mitochondria_genomes
Sample,eventID,131,Amalda_mitochondria_genomes
Sample,materialSampleID,131,Amalda_mitochondria_genomes
Sample,kingdom,131,Amalda_mitochondria_genomes
Event,country,131,Amalda_mitochondria_genomes
Event,yearCollected,131,Amalda_mitochondria_genomes
Event,eventID,131,Amalda_mitochondria_genomes
Event,locality,131,Amalda_mitochondria_genomes
Tissue,materialSampleID,131,Amalda_mitochondria_genomes
Tissue,tissuePlate,131,Amalda_mitochondria_genomes
Tissue,tissueWell,131,Amalda_mitochondria_genomes
fastaSequence,identifier,131,Amalda_mitochondria_genomes
fastaSequence,sequence,131,Amalda_mitochondria_genomes
fastaSequence,tissueID,131,Amalda_mitochondria_genomes
fastqMetadata,librarySelection,131,Amalda_mitochondria_genomes
fastqMetadata,platform,131,Amalda_mitochondria_genomes
fastqMetadata,librarySource,131,Amalda_mitochondria_genomes
fastqMetadata,libraryLayout,131,Amalda_mitochondria_genomes
