id	type	references	institutionID	institutionCode	collectionCode	basisOfRecord	materialSampleID	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	sex	lifeStage	preparations	disposition	otherCatalogNumbers	associatedMedia	associatedSequences	associatedOccurrences	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	fieldNumber	fieldNotes	locationID	higherGeography	continent	waterBody	islandGroup	island	country	stateProvince	county	locality	verbatimElevation	minimumElevationInMeters	maximumElevationInMeters	verbatimDepth	minimumDepthInMeters	maximumDepthInMeters	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	georeferenceProtocol	georeferenceRemarks	identifiedBy	identificationQualifier	typeStatus	scientificName	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	preparationType	preparationMaterials	preparedBy	preparationDate	materialSampleType	concentration	concentrationUnit	ratioOfAbsorbance260_230	ratioOfAbsorbance260_280	sampleDesignation
http://n2t.net/ark:/65665/300008335-8d74-4c3f-873c-a9d8b4b3d6a8	PhysicalObject		http://grbio.org/cool/142r-0w94	USNM	Invertebrate Zoology	MaterialSample	AJ9VQ03	http://n2t.net/ark:/65665/300008335-8d74-4c3f-873c-a9d8b4b3d6a8	1464106.14693703	Order: 2885; Box Number: MBARI_0036; Box Position: F/5; MBARI Note: SIO Box 6 Sinatra	A3120-(B3-5)	R. Vrijenhoek et al.	1				in collection					191	191	1997	7	10			AL-3120			North Atlantic Ocean		North Atlantic Ocean						MID-ATLANTIC RIDGE - Lucky Strike					1733.0	1733.0	37-17.629N	32-16.532W		37.2938	-32.2755								Bathymodiolus sp.	Animalia, Mollusca, Bivalvia, Mytilidae	Animalia	Mollusca	Bivalvia		Mytilidae	Bathymodiolus		sp.				Tissue & Parts; Mixed tissue sample				tissue					1464106
http://n2t.net/ark:/65665/3000094eb-c82e-4c82-88f2-25f2a9b40796	PhysicalObject		http://grbio.org/cool/142r-0w94	USNM	Invertebrate Zoology	MaterialSample	AC7BN99	http://n2t.net/ark:/65665/3000094eb-c82e-4c82-88f2-25f2a9b40796	1445124.13347881			J. Burnaford & L. Gilbane	1				in collection					322	322	2016	11	17	Afternoon low tide 3 -  pm		BOEM-MARINE-HAZ/111716		HAZ	North Pacific Ocean, United States, California, San Luis Obispo County		North Pacific Ocean			United States	California	San Luis Obispo County	MARINe Site, Montana del Oro State Park				Intertidal			35.2896614	-120.88325		35.2897	-120.883					Bell, C.			Anthopleura elegantissima	Animalia, Cnidaria, Anthozoa, Hexacorallia, Actiniaria, Nyantheae, Actiniidae	Animalia	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Anthopleura		elegantissima			(Brandt)	Tissue & Parts; Other (see Verbatim); Tentacle				tissue					1445124
http://n2t.net/ark:/65665/30000cb27-702b-4d34-ac24-3e46e14d5519	PhysicalObject		http://grbio.org/cool/142r-0w94	USNM	Fishes	MaterialSample	AG5NS72	http://n2t.net/ark:/65665/30000cb27-702b-4d34-ac24-3e46e14d5519	439549.12401721	Specimen voucher located at Museum National d'Histoire Naturelle, Paris.	mbio324	R. Causse, J. Grignon, D. Lecchini, V. Messmer, S. Planes, J. Williams & R. Galzin	1				in collection					71	71	2006	3	12			Moorea F-06-05			Pacific, French Polynesia, Society Islands, Moorea		Pacific		Moorea	French Polynesia			Moorea, Club Med.						1.7	17 29 69.8 S	149 55 29.9 W		-17.5027	-149.925	WGS 84		GPS					Epinephelus merra	Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Serranidae, Epinephelinae	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Epinephelus		merra				DNA, RNA, Proteins; Whole genomic DNA			2006-3-12	DNA					439549
http://n2t.net/ark:/65665/30000d403-f44f-498c-b7e3-ca1df52a2391	PhysicalObject		http://grbio.org/cool/142r-0w94	USNM	Invertebrate Zoology	MaterialSample	AF2AT49	http://n2t.net/ark:/65665/30000d403-f44f-498c-b7e3-ca1df52a2391	1452351.13337038		XMOO_0121	C. Meyer & L. Weigt	1				in collection		15114501			157	157	2008	6	5	950		MBIO/080605_minv_006		080605_minv_006	South Pacific Ocean, French Polynesia, Society Islands, Moorea		South Pacific Ocean	Society Islands	Moorea	French Polynesia			Society Islands, Moorea, Forereef between MPA Pole and Sheraton					1.0	1.0	-17.47566	-149.83594		-17.4757	-149.836	WGS1984			Max error (m): 4	Driskell, Amy C., Smithsonian Institution - National Museum of Natural History (UNITED STATES)				Animalia, Mollusca, Gastropoda	Animalia	Mollusca	Gastropoda									DNA, RNA, Proteins; Unknown DNA, RNA, or Protein			2008-6-5	DNA					1452351
http://n2t.net/ark:/65665/30002e5e4-91a3-4343-9519-2aab489dfbfd	PhysicalObject		http://grbio.org/cool/142r-0w94	USNM	Invertebrate Zoology	MaterialSample	AK1XB96	http://n2t.net/ark:/65665/30002e5e4-91a3-4343-9519-2aab489dfbfd	1475352.15797427		JC754	J. Buhay, D. Withers & T. Mann	1	male	II		in collection														69	United States, Tennessee, Putnam County					United States	Tennessee	Putnam County	Big Spring Weaks Property										36.2227	-85.7005								Orconectes placidus	Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Cambaridae	Animalia	Arthropoda	Malacostraca	Decapoda	Cambaridae	Orconectes		placidus			(Hagen)	Tissue & Parts; Unknown tissue sample				tissue					1475352
http://n2t.net/ark:/65665/300037033-1c48-460e-bc43-ce7fb3780a69	PhysicalObject		http://grbio.org/cool/142r-0w94	USNM	Fishes	MaterialSample	AG0IO49	http://n2t.net/ark:/65665/300037033-1c48-460e-bc43-ce7fb3780a69	449669.15150503		FLMOO 1239	F. Lerouvreur & B. Espiau	1				in collection					182	182	2010	7	1			FP3 010710		7414	Pacific, French Polynesia, Society Islands, Moorea		Pacific		Moorea	French Polynesia			South tip of Moorea										-17.613	-149.822								Tripterygiidae	Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Blennioidei, Tripterygiidae	Animalia	Chordata	Actinopterygii	Perciformes	Tripterygiidae							DNA, RNA, Proteins; Whole genomic DNA			2010-7-1	DNA					449669
http://n2t.net/ark:/65665/30003a155-444f-4add-9ec0-48bd2631237e	PhysicalObject		http://grbio.org/cool/142r-0w94	USNM	Fishes	MaterialSample	AL7NG46	http://n2t.net/ark:/65665/30003a155-444f-4add-9ec0-48bd2631237e	406026.14643823		CUR11026	C. Baldwin, C. Castillo, D. Robertson & L. Weigt	1				in collection					141	141	2011	5	21			CUR11-04			Atlantic, Caribbean Sea, Caracas Bay, Curacao, Lesser Antilles, Leeward Antilles, Curacao		Atlantic, Caribbean Sea, Caracas Bay	Leeward Antilles	Curacao	Curacao			Curacao, Caracas Bay, east of dive shop.					0.0	21.0	12 03.980 N	68 51.584 W		12.0663	-68.8597			GPS					Schultzea beta	Animalia, Chordata, Vertebrata, Osteichthyes, Actinopterygii, Neopterygii, Acanthopterygii, Perciformes, Percoidei, Serranidae, Serraninae	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Schultzea		beta				DNA, RNA, Proteins; Whole genomic DNA			2011-5-21	DNA					406026
http://n2t.net/ark:/65665/300042b39-2b9a-4df9-b27f-d47237261659	PhysicalObject		http://grbio.org/cool/142r-0w94	USNM	Amphibians %26 Reptiles	MaterialSample	AA7HT40	http://n2t.net/ark:/65665/300042b39-2b9a-4df9-b27f-d47237261659	589356.12522399								in collection					50	50	2016	2	19	19 February 2016					Africa, Djibouti, Tadjourah	Africa				Djibouti	Tadjourah		Day (village), ca. 2 km SE of, vicinity of abandoned lodge, Day Forest National Park	ca. 1470 m	1470.0	1470.0				11 46 14 N	42 39 07 E		11.7706	42.6519								Tomopterna cryptotis	Animalia, Chordata, Vertebrata, Amphibia, Anura, Pyxicephalidae	Animalia	Chordata	Amphibia	Anura	Pyxicephalidae	Tomopterna		cryptotis				Tissue & Parts; Muscle				tissue					589356
http://n2t.net/ark:/65665/300047b21-f0c2-48f6-861d-a620466092e5	PhysicalObject		http://grbio.org/cool/142r-0w94	USNM	Invertebrate Zoology	MaterialSample	AK0WG26	http://n2t.net/ark:/65665/300047b21-f0c2-48f6-861d-a620466092e5	1464314.14697588	Order: 4508; Box Number: MBARI_0056; Box Position: F/8; MBARI Note: SIO Box 26	A2287-(C22,30,33,35,38,43,47,48,51)	Lutz et al.	1				in collection					273	273	1990	9	30			AL-2287			North Pacific Ocean, United States, California		North Pacific Ocean			United States	California		Monterey Canyon					3402.0	3402.0	36-23.2N	122-53.8W		36.3867	-122.897									Animalia, Mollusca, Bivalvia, Vesicomyidae	Animalia	Mollusca	Bivalvia		Vesicomyidae							Tissue & Parts; Other (see Verbatim); adductor				tissue					1464314
http://n2t.net/ark:/65665/30004d383-9b25-4cfd-840d-a720361ec77e	PhysicalObject		http://grbio.org/cool/142r-0w94	USNM	Invertebrate Zoology	MaterialSample	AF6EY68	http://n2t.net/ark:/65665/30004d383-9b25-4cfd-840d-a720361ec77e	1428583.12896321		BMOO-07287	S. McPherson & K. Hendrickson	1				in collection					302	302	2009	10	29		on shell of Calcinus nitidus	MBIO/BIZ-064		BIZ-064	South Pacific Ocean, French Polynesia, Society Islands, Moorea		South Pacific Ocean	Society Islands	Moorea	French Polynesia			Society Islands, Moorea, West of Cook's Bay pass, toward Hilton					12.0	15.0	-17.47568	-149.83762		-17.4757	-149.838					Anker, Arthur	uncertain			Animalia, Cnidaria, Hydrozoa, Leptolinae, Anthoathecatae, Filifera, Hydractiniidae	Animalia	Cnidaria	Hydrozoa	Anthoathecatae	Hydractiniidae							DNA, RNA, Proteins; Unknown DNA, RNA, or Protein			2009-10-29	DNA					1428583
http://n2t.net/ark:/65665/30004d5b2-eeea-4b56-aaf7-750d6badd06e	PhysicalObject		http://grbio.org/cool/142r-0w94	USNM	Birds	MaterialSample	AB6QF05	http://n2t.net/ark:/65665/30004d5b2-eeea-4b56-aaf7-750d6badd06e	10929960			J. Kiure		Female	Adult		in collection					43	43	2005	2	12		cultivated area				Africa, Tanzania, Iringa, Ludewa	Africa				Tanzania	Iringa	Ludewa			1800.0																	Uraeginthus ianthinogaster	Animalia, Chordata, Vertebrata, Aves, Passeriformes, Estrildidae	Animalia	Chordata	Aves	Passeriformes	Estrildidae	Uraeginthus		ianthinogaster				Tissue & Parts; Muscle; M				tissue					
